Gene,Control,Treatment
G1,47,56
G2,55,53
G3,42,58
G4,52,49
G5,58,76
G6,43,60
G7,46,57
G8,49,81
G9,52,60
G10,45,55
G11,49,62
G12,43,43
G13,52,72
G14,52,50
G15,46,64
G16,54,54
G17,40,57
G18,45,63
G19,46,56
G20,51,64
G21,64,60
G22,52,63
G23,38,64
G24,33,75
G25,48,56
G26,58,54
G27,45,68
G28,41,61
G29,56,48
G30,54,72
G31,56,56
G32,47,65
G33,59,71
G34,46,63
G35,46,62
G36,55,48
G37,60,61
G38,40,63
G39,56,65
G40,56,56
G41,50,63
G42,46,64
G43,61,48
G44,48,54
G45,44,71
G46,45,67
G47,63,62
G48,53,52
G49,57,55
G50,60,63
